"","X","Store","Date","IsHoliday","Dept","Weekly_Sales","Temperature","Fuel_Price","MarkDown1","MarkDown2","MarkDown3","MarkDown4","MarkDown5","CPI","Unemployment","Type","Size"
"202017",202017,21,"2011-02-25",FALSE,36,1025,61.27,3.065,NA,NA,NA,NA,NA,213.190421,8.028,"B",140167
"165520",165520,17,"2012-03-02",FALSE,31,1236.64,26.28,3.242,14469.08,1163.89,37.38,8771.3,2237.79,130.6457931,6.403,"B",93188
"389207",389207,41,"2011-12-02",FALSE,94,37971,34.53,3.378,4594.56,305.47,1781.24,3168.1,21739.26,195.8223287,6.759,"A",196321
"133193",133193,14,"2011-05-06",FALSE,67,26400.02,58.21,4.046,NA,NA,NA,NA,NA,185.9374378,8.521,"A",200898
"401356",401356,43,"2010-10-08",FALSE,1,8748.54,72.81,2.633,NA,NA,NA,NA,NA,203.6651786,10.21,"C",41062
"259159",259159,27,"2010-06-18",FALSE,29,8258.5,70,2.942,NA,NA,NA,NA,NA,136.3243393,8.058,"A",204184
"76741",76741,8,"2012-03-23",FALSE,21,4054.58,52.9,3.787,6155.76,499.11,2.04,403.32,2748.36,224.8399424,5.825,"A",155078
"329742",329742,34,"2012-03-16",FALSE,74,8091.21,48.09,3.707,6104.24,94.31,2.7,479.7,1656.98,130.8261935,9.653,"A",158114
"364733",364733,39,"2010-09-10",TRUE,97,24890.56,79.94,2.565,NA,NA,NA,NA,NA,210.2641156,8.36,"A",184109
"34122",34122,4,"2011-04-15",FALSE,59,562.83,62.34,3.724,NA,NA,NA,NA,NA,128.9107333,5.946,"A",205863
"410462",410462,44,"2011-08-26",FALSE,3,2059.37,81.53,3.57,NA,NA,NA,NA,NA,129.2832581,6.56,"C",39910
"21456",21456,3,"2010-05-07",FALSE,6,1660.85,73.47,2.835,NA,NA,NA,NA,NA,213.6211778,7.343,"B",37392
"151848",151848,16,"2011-01-21",FALSE,27,553.43,28.6,2.973,NA,NA,NA,NA,NA,191.5731924,6.614,"B",57197
"407194",407194,44,"2010-05-21",FALSE,79,4593.52,57.71,2.95,NA,NA,NA,NA,NA,126.1843871,7.972,"C",39910
"364158",364158,39,"2010-07-16",FALSE,93,36734.9,83.86,2.623,NA,NA,NA,NA,NA,209.8630532,8.36,"A",184109
"94261",94261,10,"2011-10-14",FALSE,8,82247.55,70.27,3.698,NA,NA,NA,NA,NA,129.7706452,7.874,"B",126512
"235368",235368,24,"2012-02-17",FALSE,55,17259.47,33.92,3.874,12244.57,10925.86,25.52,15725.51,5533.12,137.2583103,8.659,"A",203819
"80319",80319,9,"2010-07-09",FALSE,33,2545,78.51,2.642,NA,NA,NA,NA,NA,214.6564301,6.442,"B",125833
"213593",213593,22,"2011-09-09",TRUE,45,11.97,69.14,3.809,NA,NA,NA,NA,NA,140.2310173,8.023,"B",119557
"360797",360797,38,"2012-03-16",FALSE,17,587.27,64.44,4.273,480.19,0.5,1.02,NA,1158.07,130.8261935,12.187,"C",39690
"221704",221704,23,"2011-03-11",FALSE,23,30163.66,29.36,3.6,NA,NA,NA,NA,NA,133.7361429,5.114,"B",114533
"274738",274738,28,"2011-11-25",TRUE,97,18635.75,53.25,3.622,2232.08,179.73,61319.72,513.76,1790.89,129.8364,12.89,"A",206302
"104015",104015,11,"2011-09-02",FALSE,17,12238.33,91.44,3.533,NA,NA,NA,NA,NA,219.1501106,7.567,"A",207499
"343918",343918,36,"2011-02-11",TRUE,92,50928.91,41.16,3.009,NA,NA,NA,NA,NA,211.6985093,8.395,"A",39910
"359342",359342,38,"2011-09-02",FALSE,60,422.4,93.66,3.798,NA,NA,NA,NA,NA,129.3259355,13.503,"C",39690
"217274",217274,22,"2012-09-21",FALSE,93,2486.5,63.38,4.056,7150.28,106.01,19,1217.3,7556.34,142.6798167,7.753,"B",119557
"240753",240753,25,"2010-11-05",FALSE,21,5326.88,38.8,2.917,NA,NA,NA,NA,NA,205.160837,7.484,"B",128107
"159021",159021,17,"2010-05-07",FALSE,83,554.44,40.26,2.948,NA,NA,NA,NA,NA,126.2898,6.635,"B",93188
"20447",20447,2,"2012-10-19",FALSE,17,12404.85,68.08,3.594,4461.89,NA,1.14,1579.67,2642.29,223.0598077,6.17,"A",202307
"149453",149453,16,"2010-05-07",FALSE,74,9979.58,37.43,2.771,NA,NA,NA,NA,NA,189.5312483,6.842,"B",57197
"146311",146311,15,"2012-03-16",FALSE,3,7062.9,47.42,4.021,3518.76,104.88,2.98,797.26,1364.77,137.5843871,7.943,"B",123737
"360158",360158,38,"2011-12-23",FALSE,9,20.24,45.4,3.541,59.23,NA,0.6,NA,1588.1,129.9845484,12.89,"C",39690
"394798",394798,42,"2010-12-17",FALSE,21,1196.75,59.15,3.125,NA,NA,NA,NA,NA,126.8794839,9.003,"C",39690
"104629",104629,11,"2011-11-04",FALSE,25,14632.13,61.13,3.332,NA,NA,NA,NA,NA,221.245968,7.197,"A",207499
"38310",38310,4,"2012-05-25",FALSE,22,14558.19,77.47,3.551,4330.02,436,862.31,3268.41,3749.53,131.0287742,4.308,"A",205863
"180543",180543,19,"2010-10-22",FALSE,37,2574.65,48.45,3.049,NA,NA,NA,NA,NA,132.8170968,8.067,"A",203819
"42712",42712,5,"2010-12-10",FALSE,74,2568.21,48.27,2.843,NA,NA,NA,NA,NA,212.0193491,6.768,"B",34875
"178473",178473,19,"2010-04-02",FALSE,26,12130.74,45.26,2.957,NA,NA,NA,NA,NA,131.9019677,8.185,"A",203819
"229207",229207,24,"2010-06-25",FALSE,58,4506,74.9,2.958,NA,NA,NA,NA,NA,132.4976,8.211,"A",203819
"295890",295890,31,"2010-05-14",FALSE,22,7636.23,73.08,2.854,NA,NA,NA,NA,NA,209.9984585,8.2,"A",203750
"89517",89517,10,"2010-07-09",FALSE,60,536.8,91.03,3.1,NA,NA,NA,NA,NA,126.1518,9.199,"B",126512
"44516",44516,5,"2011-06-24",FALSE,42,2735.21,84.76,3.594,NA,NA,NA,NA,NA,215.6539583,6.489,"B",34875
"357899",357899,38,"2011-02-18",FALSE,74,286.11,53.35,3.43,NA,NA,NA,NA,NA,127.99525,14.021,"C",39690
"234723",234723,24,"2011-12-16",FALSE,35,3640.1,36,3.611,6244.37,9.09,143.42,1766.33,5516.14,136.5335161,8.454,"A",203819
"215982",215982,22,"2012-05-11",FALSE,22,10329.19,56.72,3.947,16294.31,NA,100.09,3370.19,3482.48,142.0759262,7.671,"B",119557
"398410",398410,42,"2012-05-18",FALSE,16,1300.73,85.19,4.308,354.41,NA,NA,NA,1393.17,131.0983226,7.382,"C",39690
"27368",27368,3,"2012-02-24",FALSE,26,3382.7,60.12,3.555,6129.28,1802.84,NA,301.48,1929.71,224.1320199,6.833,"B",37392
"63557",63557,7,"2011-04-22",FALSE,90,13155.08,31.84,3.636,NA,NA,NA,NA,NA,192.5234638,8.595,"B",70713
"40291",40291,5,"2010-03-12",FALSE,60,220,58.5,2.667,NA,NA,NA,NA,NA,211.9371839,6.566,"B",34875
"369084",369084,39,"2011-11-25",TRUE,98,17014.15,66.36,3.236,224.08,292.94,77126.16,77.74,4875.43,217.1812533,7.716,"A",184109
"252146",252146,26,"2011-04-15",FALSE,52,1386.96,39.46,3.823,NA,NA,NA,NA,NA,134.2784667,7.818,"A",152513
"285731",285731,29,"2012-04-06",FALSE,3,6690.49,46.38,3.957,9650.62,NA,10.77,1831.88,4732.84,137.7970968,9.14,"B",93638
"96592",96592,10,"2012-05-25",FALSE,48,3755,86.03,4.127,7786.58,NA,712.2,1701.28,3214.55,131.0287742,7.382,"B",126512
"176421",176421,18,"2012-06-08",FALSE,44,4606.82,59.1,3.746,9422.6,218,32.42,427.69,6113.61,138.1174194,8.304,"B",120653
"313394",313394,32,"2012-04-27",FALSE,21,4710.04,61.76,3.927,4162.67,126.71,45.62,382.41,2146.94,197.664546,8.09,"A",203007
"4701",4701,1,"2011-05-06",FALSE,95,120882.84,64.61,3.906,NA,NA,NA,NA,NA,215.7960035,7.682,"A",151315
"118894",118894,13,"2010-04-16",FALSE,14,20888.17,50.39,2.915,NA,NA,NA,NA,NA,126.5621,8.107,"A",219622
"240104",240104,25,"2010-09-03",FALSE,1,13997.07,71.17,2.715,NA,NA,NA,NA,NA,204.7583566,7.527,"B",128107
"216411",216411,22,"2012-06-22",FALSE,11,60650.8,70.61,3.629,8154.53,387.4,NA,2396.96,3938.83,142.1606464,7.671,"B",119557
"107064",107064,11,"2012-06-29",FALSE,94,40285.02,87.86,3.286,4430.73,219.8,NA,1799.43,6504.38,225.3492435,6.664,"A",207499
"378491",378491,40,"2011-09-30",FALSE,56,2830.29,63.45,3.684,NA,NA,NA,NA,NA,136.4195,4.584,"A",155083
"214337",214337,22,"2011-11-25",TRUE,46,18816.13,46.28,3.536,1649.31,NA,70087.94,7.5,5266.9,140.4217857,7.706,"B",119557
"327833",327833,34,"2011-09-09",TRUE,97,18910.84,70.05,3.554,NA,NA,NA,NA,NA,129.3686129,10.641,"A",158114
"409635",409635,44,"2011-05-06",FALSE,17,242.52,47.75,3.744,NA,NA,NA,NA,NA,129.0444333,6.906,"C",39910
"157379",157379,16,"2012-08-24",FALSE,32,4020.76,61.44,3.558,1556.47,16,3.34,869.05,1691.12,198.0984199,6.061,"B",57197
"161511",161511,17,"2011-01-21",FALSE,25,3331.97,26.62,2.934,NA,NA,NA,NA,NA,127.4404839,6.866,"B",93188
"328936",328936,34,"2011-12-23",FALSE,31,2082.3,32.45,3.103,1200.1,0.18,1108.23,37.22,2109.3,129.9845484,10.148,"A",158114
"383414",383414,41,"2010-04-30",FALSE,96,2325.41,40.2,2.766,NA,NA,NA,NA,NA,189.575127,7.363,"A",196321
"250729",250729,26,"2010-11-19",FALSE,20,2421,36.73,3.03,NA,NA,NA,NA,NA,132.9172,8.149,"A",152513
"372900",372900,40,"2010-03-19",FALSE,9,13173.06,40.54,2.834,NA,NA,NA,NA,NA,131.8242903,5.892,"A",155083
"181534",181534,19,"2011-01-28",FALSE,59,520.97,20.66,3.402,NA,NA,NA,NA,NA,133.1059677,7.771,"A",203819
"82713",82713,9,"2011-04-08",FALSE,21,3327.21,71.4,3.622,NA,NA,NA,NA,NA,218.6895775,6.38,"B",125833
"403702",403702,43,"2011-09-23",FALSE,28,0.99,78.98,3.467,NA,NA,NA,NA,NA,208.1642143,10.641,"C",41062
"112096",112096,12,"2011-02-25",FALSE,36,972.5,48.45,3.53,NA,NA,NA,NA,NA,128.13,14.021,"B",112238
"290527",290527,30,"2011-03-11",FALSE,5,212.84,54.69,3.459,NA,NA,NA,NA,NA,213.7646401,8.028,"C",42988
"398277",398277,42,"2012-04-27",FALSE,10,525.26,80.11,4.088,685.44,NA,12.09,NA,512.76,131.1266667,7.382,"C",39690
"116655",116655,12,"2012-06-08",FALSE,85,2603.01,84.83,4.103,10421.58,93.2,160.4,2385.69,4837.21,130.8896774,11.627,"B",112238
"196151",196151,20,"2012-04-06",FALSE,80,42536.15,50.06,3.996,8408.31,12.57,50.79,4289.46,7382.25,214.2387053,7.139,"A",203742
"370825",370825,39,"2012-05-18",FALSE,58,3240,72.36,3.63,6962.99,NA,7,2166.87,18547.03,220.4252149,6.989,"A",184109
"230173",230173,24,"2010-09-24",FALSE,28,986.72,64.3,2.837,NA,NA,NA,NA,NA,132.7619333,8.117,"A",203819
"406725",406725,44,"2010-03-12",FALSE,7,394.43,37.62,2.733,NA,NA,NA,NA,NA,126.6042857,8.119,"C",39910
"115449",115449,12,"2012-02-10",TRUE,3,16727.66,52.27,3.722,20281.03,2551.32,14.99,10597.74,7457.16,130.3849032,12.187,"B",112238
"341383",341383,35,"2012-10-05",FALSE,40,37285.64,64.5,3.985,6855.08,NA,3.66,2468.47,2737.33,142.8516833,8.665,"B",103681
"34069",34069,4,"2011-04-08",FALSE,19,3413.79,62.61,3.605,NA,NA,NA,NA,NA,128.8238065,5.946,"A",205863
"254538",254538,26,"2011-12-16",FALSE,90,64663.77,28.24,3.445,2698.03,NA,494.72,533.84,2670.1,136.5335161,7.598,"A",152513
"323286",323286,34,"2010-06-25",FALSE,2,34783.93,78.47,2.654,NA,NA,NA,NA,NA,126.1266,9.593,"A",158114
"197495",197495,20,"2012-08-10",FALSE,46,33364.22,75.4,3.722,16845.14,156.18,12.47,6921.28,6346.44,214.7484595,7.28,"A",203742
"159062",159062,17,"2010-05-14",FALSE,21,3750.69,47.28,2.962,NA,NA,NA,NA,NA,126.2085484,6.635,"B",93188
"313640",313640,32,"2012-05-25",FALSE,24,4047.33,59.74,3.804,7581.03,NA,216.17,748.97,3014.25,197.5886046,8.09,"A",203007
"124452",124452,13,"2011-09-30",FALSE,35,2723.19,68.28,3.623,NA,NA,NA,NA,NA,129.6060667,6.877,"A",219622
"362246",362246,38,"2012-09-21",FALSE,18,312.05,82.97,4.125,192.78,NA,NA,1.5,2251.8,131.0103333,10.926,"C",39690
"209206",209206,22,"2010-06-11",FALSE,74,19858.2,65.01,2.83,NA,NA,NA,NA,NA,136.2874263,8.348,"B",119557
"155472",155472,16,"2012-02-10",TRUE,98,21.08,23.69,3.103,7247.14,985.13,0.45,9481.58,6298.1,196.9195056,6.162,"B",57197
"260865",260865,27,"2010-12-03",FALSE,18,79032.81,41.81,3.2,NA,NA,NA,NA,NA,136.6075714,8.021,"A",204184
"43558",43558,5,"2011-03-11",FALSE,13,10424.66,55.74,3.459,NA,NA,NA,NA,NA,214.6729901,6.634,"B",34875
"77427",77427,8,"2012-06-01",FALSE,97,17009.05,78.31,3.501,11578.32,41.6,58.17,1319.45,2044.72,225.300865,5.679,"A",155078
"48324",48324,5,"2012-08-24",FALSE,22,2699.15,79.45,3.62,1985.37,68,4.54,627.6,1355.17,222.7617437,5.603,"B",34875
"161416",161416,17,"2011-01-07",FALSE,6,3966.68,6.23,2.891,NA,NA,NA,NA,NA,127.1917742,6.866,"B",93188
"183269",183269,19,"2011-07-15",FALSE,14,12774.19,73.7,3.915,NA,NA,NA,NA,NA,135.7837419,7.806,"A",203819
"169468",169468,18,"2010-07-02",FALSE,7,38261.76,71.22,2.815,NA,NA,NA,NA,NA,132.5218667,9.342,"B",120653
"26392",26392,3,"2011-11-11",FALSE,5,14194.63,61.7,3.297,8787.59,2006.62,200.01,570.57,1005.33,221.4117517,7.197,"B",37392
"103628",103628,11,"2011-07-29",FALSE,7,25608.69,89.46,3.682,NA,NA,NA,NA,NA,218.8440545,7.567,"A",207499
"270373",270373,28,"2010-09-24",FALSE,25,12841.79,81.77,2.939,NA,NA,NA,NA,NA,126.1900333,14.18,"A",206302
"361785",361785,38,"2012-07-27",FALSE,31,46.5,93.47,3.769,0.27,NA,NA,NA,1622.77,130.7195806,10.926,"C",39690
"8175",8175,1,"2012-04-13",FALSE,97,36554.07,69.07,3.891,6186.19,3288.69,17.07,1822.55,1063.78,221.5102105,7.143,"A",151315
"234225",234225,24,"2011-10-28",FALSE,30,2961.56,48,3.757,NA,NA,NA,NA,NA,136.4884516,8.454,"A",203819
"153052",153052,16,"2011-05-27",FALSE,30,1036,45.17,3.795,NA,NA,NA,NA,NA,192.8365651,6.339,"B",57197
"11834",11834,2,"2010-07-02",FALSE,12,8646.9,82.74,2.669,NA,NA,NA,NA,NA,210.8803726,8.099,"A",202307
"3381",3381,1,"2010-12-31",TRUE,44,2940.67,48.43,2.943,NA,NA,NA,NA,NA,211.4049321,7.838,"A",151315
"45496",45496,5,"2011-10-14",FALSE,60,193.6,72.36,3.274,NA,NA,NA,NA,NA,217.9237458,6.3,"B",34875
"297849",297849,31,"2010-11-19",FALSE,11,10563.31,51.71,2.771,NA,NA,NA,NA,NA,211.5470304,8.163,"A",203750
"100695",100695,11,"2010-10-08",FALSE,74,22135.27,68.71,2.633,NA,NA,NA,NA,NA,215.060858,7.564,"A",207499
"221839",221839,23,"2011-03-25",FALSE,59,878.39,29.11,3.624,NA,NA,NA,NA,NA,133.9587419,5.114,"B",114533
"335541",335541,35,"2011-02-04",FALSE,29,8397.28,28.7,3.231,NA,NA,NA,NA,NA,137.0542431,8.549,"B",103681
"35223",35223,4,"2011-07-29",FALSE,22,16294.57,84.36,3.659,NA,NA,NA,NA,NA,129.1677097,5.644,"A",205863
"349956",349956,37,"2010-11-26",TRUE,81,10145.1,67.73,2.735,NA,NA,NA,NA,NA,210.5152765,8.476,"C",39910
"264455",264455,27,"2011-11-18",FALSE,37,3011.71,51.42,3.717,32812.24,5487.82,143.88,567.08,14703.26,140.4127857,7.906,"A",204184
"309",309,1,"2010-03-05",FALSE,93,63550.08,46.5,2.625,NA,NA,NA,NA,NA,211.3501429,8.106,"A",151315
"283476",283476,29,"2011-08-19",FALSE,85,1978.92,71.3,3.82,NA,NA,NA,NA,NA,136.183129,9.863,"B",93638
"132549",132549,14,"2011-03-04",FALSE,4,55669.47,38.65,3.433,NA,NA,NA,NA,NA,184.3879911,8.549,"A",200898
"170743",170743,18,"2010-11-12",FALSE,2,60417.04,43.17,2.961,NA,NA,NA,NA,NA,132.9783226,9.331,"B",120653
"146861",146861,15,"2012-05-11",FALSE,72,30468.37,54.23,4.055,11017,NA,11.17,1287.37,2683.72,138.0882667,8.15,"B",123737
"252754",252754,26,"2011-06-17",FALSE,59,111.56,54.5,3.873,NA,NA,NA,NA,NA,135.0837333,7.818,"A",152513
"204643",204643,21,"2011-11-25",TRUE,42,5662.66,56.43,3.236,233.85,206.36,40561.8,319.19,170.64,218.1130269,7.441,"B",140167
"307495",307495,32,"2010-10-01",FALSE,5,20340.36,66.14,2.759,NA,NA,NA,NA,NA,190.6738241,9.137,"A",203007
"25641",25641,3,"2011-08-19",FALSE,21,1083.57,88.44,3.554,NA,NA,NA,NA,NA,219.023271,7.567,"B",37392
"311026",311026,32,"2011-09-09",TRUE,40,56945.88,61.24,3.566,NA,NA,NA,NA,NA,194.6387853,8.622,"A",203007
"134362",134362,14,"2011-09-02",FALSE,54,40.92,70.63,3.703,NA,NA,NA,NA,NA,186.6189274,8.625,"A",200898
"88995",88995,10,"2010-05-21",FALSE,20,14601.7,78.32,3.12,NA,NA,NA,NA,NA,126.1843871,9.524,"B",126512
"122996",122996,13,"2011-05-13",FALSE,42,7699.5,52.4,3.77,NA,NA,NA,NA,NA,129.089,7.193,"A",219622
"67015",67015,7,"2012-04-06",FALSE,49,26.73,44.29,3.854,7550.89,NA,21.98,1156.2,3500.91,197.5971285,8.09,"B",70713
"17135",17135,2,"2011-12-02",FALSE,97,34999.01,48.74,3.172,8010.99,83.47,1897.27,4444,28238.93,218.3590319,7.441,"A",202307
"221674",221674,23,"2011-03-11",FALSE,60,105.6,29.36,3.6,NA,NA,NA,NA,NA,133.7361429,5.114,"B",114533
"24053",24053,3,"2011-02-25",FALSE,19,587.84,67.4,3.065,NA,NA,NA,NA,NA,216.8780275,7.551,"B",37392
"175024",175024,18,"2012-01-20",FALSE,96,3.36,24.2,3.542,4209.35,5114.77,3.66,414.31,965.11,136.8564194,8.075,"B",120653
"253437",253437,26,"2011-08-26",FALSE,72,49101.04,61.1,3.796,NA,NA,NA,NA,NA,136.2136129,7.767,"A",152513
"288372",288372,30,"2010-05-07",FALSE,87,274.76,70.87,2.835,NA,NA,NA,NA,NA,210.0011018,8.2,"C",42988
"315361",315361,33,"2010-02-12",TRUE,91,8972.54,55.47,2.828,NA,NA,NA,NA,NA,126.4962581,10.115,"A",39690
"414537",414537,45,"2010-05-07",FALSE,38,48174.69,70.75,2.966,NA,NA,NA,NA,NA,181.6468154,8.899,"B",118221
"89280",89280,10,"2010-06-18",FALSE,33,12082.22,83.49,2.935,NA,NA,NA,NA,NA,126.114,9.524,"B",126512
"81039",81039,9,"2010-10-01",FALSE,27,406.8,69.08,2.603,NA,NA,NA,NA,NA,215.2141341,6.56,"B",125833
"97530",97530,10,"2012-08-24",FALSE,19,2570.19,82.5,4.055,11322.69,NA,34,6602.59,7256.22,130.8381613,7.17,"B",126512
"58119",58119,6,"2012-07-13",FALSE,54,46.92,80.27,3.256,8413.69,113.45,39.42,5516.18,2724.98,223.5332824,5.668,"A",202505
"265450",265450,27,"2012-02-24",FALSE,31,2172.98,41.74,3.917,16993.22,13384.32,9.6,8237.33,9045.21,141.3007857,8.009,"A",204184
"217863",217863,23,"2010-02-19",FALSE,93,1047.99,26.7,2.747,NA,NA,NA,NA,NA,131.637,5.892,"B",114533
"272458",272458,28,"2011-04-15",FALSE,40,47354.08,57.63,3.868,NA,NA,NA,NA,NA,128.9107333,13.736,"A",206302
"64498",64498,7,"2011-07-29",FALSE,33,2069.33,56.66,3.547,NA,NA,NA,NA,NA,193.711525,8.622,"B",70713
"104539",104539,11,"2011-10-28",FALSE,67,9429.57,72.66,3.372,NA,NA,NA,NA,NA,221.0801842,7.197,"A",207499
"371071",371071,39,"2012-06-15",FALSE,10,19125.74,81.33,3.393,8270.46,76.4,0.06,3324.17,25107.85,220.4494148,6.989,"A",184109
"212909",212909,22,"2011-07-01",FALSE,9,35906.37,70.8,3.815,NA,NA,NA,NA,NA,139.36375,8.023,"B",119557
"107034",107034,11,"2012-06-29",FALSE,14,21633.8,87.86,3.286,4430.73,219.8,NA,1799.43,6504.38,225.3492435,6.664,"A",207499
"158860",158860,17,"2010-04-23",FALSE,27,1412,52.25,2.936,NA,NA,NA,NA,NA,126.4713333,6.635,"B",93188
"291494",291494,30,"2011-07-22",FALSE,13,11215.62,90.27,3.651,NA,NA,NA,NA,NA,215.0749122,7.852,"C",42988
"281561",281561,29,"2011-01-28",FALSE,12,1226.64,20.61,3.243,NA,NA,NA,NA,NA,133.1059677,10.256,"B",93638
"218755",218755,23,"2010-05-21",FALSE,85,4601.34,57.94,2.961,NA,NA,NA,NA,NA,132.2230323,5.435,"B",114533
"87762",87762,9,"2012-10-19",FALSE,30,1623.42,68.01,3.594,545.72,NA,8,28.94,3098.87,227.214288,4.954,"B",125833
"89382",89382,10,"2010-06-25",FALSE,8,83658.17,90.32,3.084,NA,NA,NA,NA,NA,126.1266,9.524,"B",126512
"190557",190557,20,"2010-10-01",FALSE,7,32676.83,61.08,2.707,NA,NA,NA,NA,NA,204.8850973,7.484,"A",203742
"163807",163807,17,"2011-09-09",TRUE,48,397,61.94,3.619,NA,NA,NA,NA,NA,129.3686129,6.745,"B",93188
"144395",144395,15,"2011-09-02",FALSE,24,10893.32,67.63,3.879,NA,NA,NA,NA,NA,136.2440968,7.806,"B",123737
"248475",248475,26,"2010-04-02",FALSE,45,11.47,36.53,2.826,NA,NA,NA,NA,NA,131.9019677,8.512,"A",152513
"239068",239068,25,"2010-05-21",FALSE,49,12727.35,57.17,2.958,NA,NA,NA,NA,NA,203.8770235,7.856,"B",128107
"409070",409070,44,"2011-02-11",TRUE,67,1329.56,30.83,3.034,NA,NA,NA,NA,NA,127.859129,7.224,"C",39910
"407208",407208,44,"2010-05-21",FALSE,87,96.17,57.71,2.95,NA,NA,NA,NA,NA,126.1843871,7.972,"C",39910
"217011",217011,22,"2012-08-24",FALSE,71,5649.17,70.42,3.874,10456.16,100.54,104.14,6657.04,4648.25,142.3105933,7.753,"B",119557
"250077",250077,26,"2010-09-17",FALSE,34,7254.03,50.08,2.716,NA,NA,NA,NA,NA,132.7670667,8.445,"A",152513
